team,home_game_id,away_game_id
Prairie View A&M Panthers,"[401700446, 401710006, 401714992, 401722123, 401715457]",[]
Presbyterian Blue Hose,"[401720475, 401715679, 401715334]",[]
Princeton Tigers,[401715427],[]
Providence Friars,"[401729744, 401735273, 401715537, 401719069, 401719089, 401719103, 401719106, 401719121, 401719127]","[401706914, 401715531, 401715532, 401715533, 401715534, 401715535, 401729742, 401715538, 401719075, 401719081, 401719091, 401719096, 401719117, 401719134]"
Purdue Boilermakers,"[401707980, 401721310, 401707982, 401721323, 401721343, 401721358, 401721364, 401721401]","[401716065, 401707976, 401707977, 401707978, 401707979, 401707981, 401731040, 401721316, 401707975, 401707983, 401721333, 401721351, 401721372, 401721378, 401721394]"
Purdue Fort Wayne Mastodons,"[401715416, 401707877, 401715644]",[]
Queens University Royals,"[401711713, 401711704, 401706911]",[]
Quinnipiac Bobcats,[401715591],[]
Radford Highlanders,"[401715687, 401700421, 401715333, 401720543]",[]
Rhode Island Rams,[],[401715537]
Rice Owls,[],[401715652]
Richmond Spiders,[401714644],[]
Rider Broncs,"[401706186, 401706148, 401706163, 401706170]",[]
Robert Morris Colonials,[401706990],[]
Rutgers Scarlet Knights,"[401700269, 401721314, 401721322, 401721360, 401721369, 401721390]","[401719211, 401715422, 401715423, 401715424, 401715425, 401719212, 401730558, 401721320, 401715426, 401715427, 401715428, 401721336, 401721343, 401721353, 401721381, 401721397, 401721407]"
SE Louisiana Lions,[401714989],[]
SIU Edwardsville Cougars,"[401707857, 401707848]",[]
SMU Mustangs,"[401700445, 401729701, 401724776, 401724760, 401724805, 401724813, 401724823, 401724852]","[401700442, 401700443, 401700444, 401700446, 401700447, 401700448, 401700449, 401724772, 401700450, 401700451, 401724791, 401724756, 401724817, 401724836, 401724843]"
Sacramento State Hornets,[401706877],[]
Sacred Heart Pioneers,[401715607],[]
Saint Francis Red Flash,"[401700418, 401715415, 401707873, 401715470]",[]
Saint Joseph's Hawks,[],"[401700405, 401729822, 401715640, 401700399]"
Saint Mary's Gaels,"[401721659, 401729699, 401720542]",[401707987]
Saint Peter's Peacocks,"[401715423, 401715560]",[]
Sam Houston Bearkats,"[401715691, 401707862, 401726427]",[]
Samford Bulldogs,"[401721647, 401722312]",[]
San Diego State Aztecs,"[401706880, 401719208, 401730559]",[401715453]
San Diego Toreros,[401722307],[]
San Francisco Dons,[],[401716066]
San José State Spartans,[401721657],[]
Santa Clara Broncos,"[401729704, 401722308, 401706985]",[401715697]
Seattle Pacific Falcons,[401734421],[]
Seattle U Redhawks,"[401706887, 401715437]",[]
Seton Hall Pirates,"[401715426, 401729789, 401715562, 401715564, 401719070, 401719080, 401719096, 401719104, 401719119, 401719129]","[401715567, 401715560, 401715561, 401715563, 401729793, 401715565, 401715566, 401719079, 401719092, 401719108, 401719113, 401719121, 401719133]"
Siena Saints,[401706165],[]
South Alabama Jaguars,"[401715319, 401706988]",[]
South Carolina Gamecocks,"[401729801, 401706873, 401707859, 401708305, 401708330, 401708339, 401708355]","[401700425, 401711742, 401715327, 401715328, 401715329, 401715330, 401715331, 401715332, 401715333, 401715334, 401724555, 401708321, 401708344, 401708351, 401708365]"
South Carolina State Bulldogs,"[401715327, 401714907, 401715624]",[]
South Carolina Upstate Spartans,"[401719267, 401706901, 401700464, 401715383, 401715332]",[]
South Dakota Coyotes,"[401715380, 401707989]",[]
South Dakota State Jackrabbits,"[401724554, 401706924]",[]
South Florida Bulls,[401714888],[]
Southeast Missouri State Redhawks,[401727332],[]
Southern Illinois Salukis,"[401714893, 401719219]",[]
Southern Indiana Screaming Eagles,[401715456],[]
Southern Jaguars,"[401715379, 401721661, 401707991, 401715359, 401715325]",[]
Southern Miss Golden Eagles,[401715324],[]
Southern Utah Thunderbirds,"[401710004, 401722311]",[]
St. Bonaventure Bonnies,[401715538],[]
St. John's Red Storm,"[401714901, 401719075, 401719082, 401719093, 401719108, 401719122]","[401729735, 401715594, 401706977, 401715590, 401715591, 401715592, 401715593, 401715595, 401715596, 401719071, 401715597, 401719087, 401719097, 401719101, 401719114, 401719127, 401719131]"
St. Thomas-Minnesota Tommies,"[401719218, 401722305]",[]
Stanford Cardinal,"[401715697, 401715698, 401724773, 401724785, 401724795, 401724801, 401724810, 401724843]","[401715692, 401715693, 401715694, 401715695, 401715696, 401715699, 401715700, 401715701, 401715702, 401724763, 401724754, 401724821, 401724826, 401724837, 401724853]"
Stephen F. Austin Lumberjacks,[401721654],[]
Stetson Hatters,"[401711756, 401711761, 401711763]",[]
Stonehill Skyhawks,"[401715681, 401706874, 401715532, 401715479]",[]
Stony Brook Seawolves,[401715476],[]
Syracuse Orange,"[401706894, 401729821, 401706896, 401724769, 401706898, 401724793, 401724750, 401724819, 401724837, 401724846]","[401706892, 401706893, 401724988, 401706895, 401706897, 401715474, 401706899, 401724781, 401724759, 401724798, 401724807, 401724822, 401724850]"
TCU Horned Frogs,"[401706983, 401729703, 401725632, 401725646, 401725677, 401725688, 401725700]","[401706987, 401706980, 401706981, 401706982, 401706984, 401706985, 401706986, 401706988, 401706989, 401725641, 401725654, 401725666, 401725684, 401725708, 401725717]"
Tarleton State Texans,"[401700442, 401715653, 401728787, 401727064, 401715649, 401719220]",[]
Temple Owls,"[401706869, 401715655]",[401729755]
Tennessee Tech Golden Eagles,"[401714896, 401727343, 401715646]",[]
Tennessee Volunteers,"[401700427, 401707854, 401729733, 401708310, 401708323, 401708338, 401708348]","[401715338, 401706896, 401715340, 401715335, 401715336, 401715337, 401715339, 401715341, 401715342, 401715343, 401708306, 401708329, 401708340, 401708354, 401708366, 401708372]"
Texas A&M Aggies,"[401719207, 401730558, 401707975, 401715355, 401715360, 401708315, 401708327, 401708343, 401708353, 401708365]","[401700468, 401715358, 401715356, 401715357, 401715359, 401719067, 401715361, 401715362, 401708307, 401708322, 401708337, 401708359]"
Texas A&M-Corpus Christi Islanders,"[401707976, 401706953]",[]
